Date,USD_Index
5/5/2009,98.8529
5/6/2009,98.9044
5/7/2009,98.552
5/8/2009,98.1269
5/11/2009,97.747
5/12/2009,97.8269
5/13/2009,98.0276
5/14/2009,98.1271
5/15/2009,98.1063
5/18/2009,97.9412
5/19/2009,97.2827
5/20/2009,96.5707
5/21/2009,96.6039
5/22/2009,95.8788
5/25/2009,
5/26/2009,95.988
5/27/2009,95.9622
5/28/2009,96.1313
5/29/2009,95.268
6/1/2009,94.8107
6/2/2009,94.6556
6/3/2009,95.0751
6/4/2009,95.2922
6/5/2009,96.0412
6/8/2009,96.6548
6/9/2009,95.9537
6/10/2009,96.1277
6/11/2009,95.4993
6/12/2009,95.836
6/15/2009,96.7519
6/16/2009,96.2616
6/17/2009,96.64
6/18/2009,96.1482
6/19/2009,96.0325
6/22/2009,96.8818
6/23/2009,96.5196
6/24/2009,96.2369
6/25/2009,96.7072
6/26/2009,96.1935
6/29/2009,96.242
6/30/2009,96.3761
7/1/2009,95.6581
7/2/2009,96.3216
7/3/2009,
7/6/2009,96.6174
7/7/2009,96.6321
7/8/2009,97.0204
7/9/2009,96.6219
7/10/2009,97.0819
7/13/2009,96.9995
7/14/2009,96.6599
7/15/2009,95.8004
7/16/2009,95.7241
7/17/2009,95.6036
7/20/2009,95.0903
7/21/2009,95.0564
7/22/2009,94.8659
7/23/2009,94.532
7/24/2009,94.7046
7/27/2009,94.6659
7/28/2009,94.5592
7/29/2009,95.1678
7/30/2009,94.8967
7/31/2009,94.2526
8/3/2009,93.6331
8/4/2009,93.7281
8/5/2009,93.7848
8/6/2009,93.9358
8/7/2009,94.4692
8/10/2009,94.6087
8/11/2009,94.8678
8/12/2009,94.5394
8/13/2009,94.2392
8/14/2009,94.475
8/17/2009,95.1024
8/18/2009,95.1118
8/19/2009,94.4084
8/20/2009,94.3492
8/21/2009,94.0103
8/24/2009,93.9345
8/25/2009,93.9066
8/26/2009,94.8662
8/27/2009,94.7943
8/28/2009,94.4489
8/31/2009,94.6202
9/1/2009,95.2201
9/2/2009,95.1575
9/3/2009,94.959
9/4/2009,94.5811
9/7/2009,
9/8/2009,93.7323
9/9/2009,93.6915
9/10/2009,93.6947
9/11/2009,93.3225
9/14/2009,93.6196
9/15/2009,93.4427
9/16/2009,92.9072
9/17/2009,92.8287
9/18/2009,93.1233
9/21/2009,93.3547
9/22/2009,92.8664
9/23/2009,92.979
9/24/2009,93.4708
9/25/2009,93.5535
9/28/2009,93.4669
9/29/2009,93.7776
9/30/2009,93.1907
10/1/2009,93.5995
10/2/2009,93.6756
10/5/2009,93.3356
10/6/2009,92.619
10/7/2009,92.794
10/8/2009,92.2074
10/9/2009,92.2984
10/12/2009,
10/13/2009,91.8273
10/14/2009,91.5047
10/15/2009,91.4367
10/16/2009,91.6541
10/19/2009,91.4406
10/20/2009,91.801
10/21/2009,91.3805
10/22/2009,91.6075
10/23/2009,91.7331
10/26/2009,92.0998
10/27/2009,92.5335
10/28/2009,92.8152
10/29/2009,92.4708
10/30/2009,92.6207
11/2/2009,92.4501
11/3/2009,92.9037
11/4/2009,92.3725
11/5/2009,92.3437
11/6/2009,92.3848
11/9/2009,91.6861
11/10/2009,91.6659
11/11/2009,
11/12/2009,91.9461
11/13/2009,91.5754
11/16/2009,91.194
11/17/2009,91.7419
11/18/2009,91.249
11/19/2009,91.7827
11/20/2009,91.9906
11/23/2009,91.4864
11/24/2009,91.5539
11/25/2009,90.9669
11/26/2009,
11/27/2009,91.5272
11/30/2009,91.3717
12/1/2009,90.8323
12/2/2009,90.8906
12/3/2009,90.9152
12/4/2009,91.3806
12/7/2009,91.5414
12/8/2009,91.9513
12/9/2009,92.014
12/10/2009,92.0073
12/11/2009,92.2946
12/14/2009,92.0305
12/15/2009,92.3635
12/16/2009,92.1496
12/17/2009,93.225
12/18/2009,93.1632
12/21/2009,
12/22/2009,93.2903
12/23/2009,92.9295
12/24/2009,92.8694
12/25/2009,
12/28/2009,92.6993
12/29/2009,92.8838
12/30/2009,93.0872
12/31/2009,92.9124
1/1/2010,
1/4/2010,92.3566
1/5/2010,92.2236
1/6/2010,92.0941
1/7/2010,92.3684
1/8/2010,92.1485
1/11/2010,91.5997
1/12/2010,91.7005
1/13/2010,91.7272
1/14/2010,91.5864
1/15/2010,91.7668
1/18/2010,
1/19/2010,91.9611
1/20/2010,92.6766
1/21/2010,92.6627
1/22/2010,92.943
1/25/2010,92.9099
1/26/2010,93.3298
1/27/2010,93.2835
1/28/2010,93.2635
1/29/2010,93.7638
2/1/2010,93.7321
2/2/2010,93.4136
2/3/2010,93.6268
2/4/2010,94.1401
2/5/2010,94.6218
2/8/2010,
2/9/2010,
2/10/2010,
2/11/2010,
2/12/2010,93.9976
2/15/2010,
2/16/2010,93.482
2/17/2010,93.7171
2/18/2010,93.8752
2/19/2010,93.9569
2/22/2010,93.7402
2/23/2010,93.9794
2/24/2010,93.9775
2/25/2010,94.3797
2/26/2010,93.6602
3/1/2010,93.7979
3/2/2010,93.488
3/3/2010,92.9861
3/4/2010,93.4079
3/5/2010,93.2623
3/8/2010,93.2446
3/9/2010,93.1941
3/10/2010,93.0426
3/11/2010,93.0533
3/12/2010,92.6616
3/15/2010,92.9642
3/16/2010,92.595
3/17/2010,92.4446
3/18/2010,92.7451
3/19/2010,93.0407
3/22/2010,93.1333
3/23/2010,93.006
3/24/2010,93.6468
3/25/2010,93.5885
3/26/2010,93.6873
3/29/2010,93.2959
3/30/2010,93.2627
3/31/2010,92.8987
4/1/2010,92.6661
4/2/2010,92.9057
4/5/2010,92.6644
4/6/2010,92.7373
